,Age,Experience,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
0,25,1,64292083.33333333,4,25192000.0,1,0,0,1,0,0,0
1,45,19,44610833.333333336,3,23617500.0,1,0,0,1,0,0,0
2,39,15,14432916.666666666,1,15745000.0,1,0,0,0,0,0,0
3,35,9,131208333.33333334,1,42511500.0,2,0,0,0,0,0,0
4,35,8,59043750.0,4,15745000.0,2,0,0,0,0,0,1
5,37,13,38050416.666666664,4,6298000.0,2,155,0,0,0,1,0
6,53,27,94470000.0,2,23617500.0,2,0,0,0,0,1,0
7,50,24,28865833.333333332,1,4723500.0,3,0,0,0,0,0,1
8,35,10,106278750.0,3,9447000.0,2,104,0,0,0,1,0
9,34,9,236175000.0,1,140130500.0,3,0,1,0,0,0,0
10,65,39,137768750.0,4,37788000.0,3,0,0,0,0,0,0
11,29,5,59043750.0,3,1574500.0,2,0,0,0,0,1,0
12,48,23,149577500.0,2,59831000.0,3,0,0,1,0,0,0
13,59,32,52483333.333333336,4,39362500.0,2,0,0,0,0,1,0
14,67,41,146953333.33333334,1,31490000.0,1,0,0,1,0,0,0
15,60,30,28865833.333333332,1,23617500.0,3,0,0,0,0,1,1
16,38,14,170570833.33333334,4,74001500.0,3,134,1,0,0,0,0
17,42,18,106278750.0,4,37788000.0,1,0,0,0,0,0,0
18,46,21,253232083.3333333,2,127534500.0,3,0,1,0,0,0,0
19,55,28,27553750.0,1,7872500.0,2,0,0,1,0,0,1
20,56,31,32802083.333333336,4,14170500.0,2,111,0,0,0,1,0
21,57,27,82661250.0,3,31490000.0,3,0,0,0,0,1,0
22,29,5,81349166.66666667,1,18894000.0,1,260,0,0,0,1,0
23,44,18,56419583.333333336,2,11021500.0,1,163,0,1,0,0,0
24,36,11,199436666.66666666,2,61405500.0,1,159,0,0,0,0,1
25,43,19,38050416.666666664,3,7872500.0,1,97,0,0,0,1,0
26,40,16,108902916.66666667,4,3149000.0,3,0,0,0,0,0,0
27,46,20,207309166.66666666,1,37788000.0,1,0,0,0,0,1,1
28,56,30,62980000.0,1,34639000.0,3,0,0,0,0,1,1
29,38,13,156137916.66666666,1,51958500.0,2,0,1,0,1,1,1
30,59,35,45922916.666666664,1,18894000.0,3,122,0,0,0,1,0
31,40,16,38050416.666666664,1,31490000.0,2,0,0,0,0,1,0
32,53,28,53795416.666666664,2,9447000.0,3,193,0,0,0,0,0
33,30,6,23617500.0,3,14170500.0,3,0,0,0,0,0,0
34,31,5,65604166.66666667,4,28341000.0,3,0,0,0,0,1,0
35,48,24,106278750.0,3,11021500.0,1,0,0,0,0,0,0
36,59,35,158762083.33333334,1,45660500.0,1,0,0,0,0,0,1
37,51,25,93157916.66666667,1,22043000.0,3,198,0,0,0,0,0
38,42,18,185003750.0,3,78725000.0,3,0,1,1,1,1,0
39,38,13,104966666.66666667,4,11021500.0,3,285,0,0,0,1,0
40,57,32,110215000.0,3,25192000.0,3,0,0,1,0,0,0
41,34,9,78725000.0,3,36213500.0,1,0,0,0,0,0,0
42,32,7,173195000.0,4,17319500.0,2,412,1,0,0,1,0
43,39,15,59043750.0,1,11021500.0,1,0,0,0,0,1,0
44,46,20,136456666.66666666,1,89746500.0,1,0,0,0,0,1,1
45,57,31,68228333.33333333,4,39362500.0,1,0,0,0,0,0,1
46,39,14,56419583.333333336,3,11021500.0,2,153,0,0,0,1,0
47,37,12,254544166.6666667,4,3149000.0,3,211,1,1,1,1,1
48,56,26,106278750.0,2,70852500.0,3,0,0,0,0,0,1
49,40,16,64292083.33333333,1,28341000.0,1,0,0,0,0,0,1
50,32,8,10496666.666666666,4,11021500.0,2,0,0,1,0,1,0
51,61,37,171882916.66666666,1,45660500.0,1,0,0,0,0,1,0
52,30,6,94470000.0,1,1574500.0,1,207,0,0,0,0,0
53,50,26,249295833.33333334,3,33064500.0,3,240,1,0,0,1,0
54,29,5,57731666.666666664,1,3149000.0,3,0,0,0,0,1,0
55,41,17,182379583.33333334,2,125960000.0,1,0,0,0,0,1,0
56,55,30,38050416.666666664,3,1574500.0,2,0,0,1,1,1,0
57,56,31,171882916.66666666,2,18894000.0,3,0,1,0,0,0,0
58,28,2,122023750.0,2,3149000.0,1,0,0,0,0,0,0
59,31,5,246671666.66666666,2,70852500.0,1,455,0,0,0,0,0
60,49,24,51171250.0,3,26766500.0,2,0,0,1,0,1,0
61,47,21,164010416.66666666,1,89746500.0,1,112,0,1,0,0,0
62,42,18,28865833.333333332,1,15745000.0,1,0,0,0,0,0,0
63,42,17,41986666.666666664,4,0.0,2,0,0,0,0,1,0
64,47,23,137768750.0,2,51958500.0,1,0,0,0,0,0,0
